query,intent,processed_text
公司的打卡时间是几点到几点,sql,公司 打卡 时间 几点 几点
查一下财务部门2018年新招聘了多少人,sql,查 一下 财务部门 2018 年 新 人 招聘
公司的数据安全政策有哪些规定,rag,公司 数据安全 政策 规定
公司2020年的税收支出是多少,sql,公司 2020 年 税收 支出
分析2020年和2020年公司营收的变化趋势,sql,分析 2020 年 2020 年 公司 营收 变化趋势
公司的办公室布局图在哪里可以找到,rag,有没有人知道 公司 办公室 布局 图 找到？
公司的餐厅营业时间是什么时候,sql,公司 餐厅 营业时间 时候
公司的停车场在哪里,sql,公司 停车场 哪里
公司的使命和愿景是什么,rag,公司 使命 愿景
公司的员工福利包括哪些内容,rag,公司 员工福利 包括 内容
查询公司2020年的国内外市场销售比例,sql,查询 公司 2020 年 国内外 市场 销售 比例
公司的技术栈包括哪些内容,sql,公司 技术 栈 包括 内容
统计公司2020年的客户增长率,sql,统计 公司 2020 年 客户 增长率
公司的环保政策有哪些内容,rag,如何 公司 环保 政策 内容呢
公司的专利申请流程是什么,sql,公司 专利申请 流程
我想知道公司的培训体系,rag,知道 公司 培训 体系
如何使用公司的打印机扫描功能,sql,使用 公司 打印机 扫描 功能
公司的安全出口在哪里,rag,公司 安全 出口 哪里呀
公司的信息安全培训内容是什么,rag,公司 信息安全 培训 内容
公司的IT支持电话是多少,rag,公司 IT 支持 电话？
公司的年会一般什么时候举行,sql,公司 年 一般 时候 举行
公司2022年的税收支出是多少,sql,公司 2022 年 税收 支出
公司的年度体检政策是什么,sql,公司 年度 体检 政策
如何申请公司的内部转账,rag,申请 公司 内部 转账
如何申请带薪休假,sql,申请 带薪休假
查看运营部门2024年的客户满意度,sql,查看 运营 部门 2024 年 客户 满意度呀
比较物流部门和物流部门的人均产值,sql,比较 物流 物流 部门 部门 人均产值
分析设计部门2023年至2023年的人员变化,sql,分析 设计部门 2023 年 至 2023 年 人员 变化
如何参与公司的社会责任项目,sql,参与 社会 公司 责任 项目
公司的餐厅营业时间是什么时候,sql,公司 餐厅 营业时间 时候
如何申请公司的资源访问权限,rag,申请 公司 资源 访问 权限
如何使用公司的内部沟通工具,sql,使用 公司 内部 沟通 工具
公司的股票代码是什么,rag,公司 股票代码
查一下物流部门2023年新招聘了多少人,sql,查 一下 物流 部门 2023 年 新 招聘 人
公司的知识产权保护政策是什么,rag,公司 知识产权 保护 政策
如何重置公司内部系统密码,sql,重置 公司 内部 系统 密码
公司的安全出口在哪里,rag,公司 安全 出口 哪里
公司的使命和愿景是什么,rag,我想知道 公司 使命 愿景
帮我查一下公司的技术发展路线,sql,帮 我查 一下 公司 技术 发展 路线
对比技术员和技术员在各部门的薪资差异,sql,对比 技术员 技术员 各 部门 薪资 差异
如何申请调岗,rag,申请 调岗
公司的防火演习流程是什么,rag,公司 防火 演习 流程
分析质量控制部门2024年的项目成功率,sql,请 分析 质量 控制 部门 2024 年 项目 成功率
公司的股票代码是什么,rag,公司 股票代码
公司的安全出口在哪里,sql,公司 安全 出口 哪里了
公司的专利申请流程是什么,rag,如何 公司 专利申请 流程
公司的年会一般什么时候举行,sql,公司 年 一般 时候 举行
公司2019年招聘了多少名新员工,sql,公司 2019 年 招聘 名新 员工
公司的信息安全培训内容是什么,sql,公司 信息安全 培训 内容
公司的绩效评估周期是怎样的,rag,想了解 公司 绩效 评估 周期
如何参加公司组织的培训课程,sql,参加 公司 组织 培训 课程
如何加入公司的员工俱乐部,rag,想了解 加入 公司 员工 俱乐部
如何使用公司的健身房设施,sql,使用 公司 健身房 设施
分析供应链部门2021年至2021年的人员变化,sql,能否 分析 供应链 部门 2021 至 年 2021 年 人员 变化啊
请问公司的病假政策是怎么规定的,rag,如何 公司 病假 政策 规定吗
请问公司的病假政策是怎么规定的,rag,如何 公司 病假 政策 规定
如何使用公司的云盘系统,rag,使用 公司 云盘 系统
公司行政部门的绩效最高的员工是谁,sql,公司 行政部门 绩效 最高 员工 谁
公司的加班餐补政策是什么,sql,公司 加班 餐补 政策
公司的员工福利包括哪些内容,sql,公司 员工福利 包括 内容呢
公司的健康保险政策是什么,rag,公司 健康 保险 政策
如何申请在家办公,rag,申请 在家 办公
公司的远程工作政策是怎样的,rag,公司 远程 工作 政策
分析战略规划部门2019年的项目成功率,sql,分析 战略规划 部门 2019 年 项目 成功率
公司的员工手册在哪里可以找到,rag,公司 员工 手册 哪里 找到
公司的试用期政策是什么,sql,公司 试用期 政策
如何使用公司的打印机扫描功能,rag,有没有人知道 使用 打印机 公司 扫描 功能
公司的环保政策有哪些内容,rag,公司 环保 政策 内容吗
公司员工的平均年龄是多少,sql,公司员工 平均年龄
公司的考勤制度是怎样的,sql,公司 考勤制度
如何获取公司的品牌资源和素材,sql,需要 获取 公司 品牌 素材 资源吗
如何重置公司内部系统密码,sql,麻烦 重置 公司 内部 密码 系统啊
公司2020年的员工离职率是多少,sql,公司 2020 年 员工 率 离职呢
请问公司的病假政策是怎么规定的,rag,公司 病假 政策 规定
我需要知道产品部门的预算执行情况,sql,知道 产品 部门 预算 执行 情况
我想看看公司测试员的分布情况,sql,看看 公司 测试 员 分布 情况
如何申请公司的资源访问权限,rag,申请 公司 资源 访问 权限
如何参加公司的技术分享会,rag,如何 参加 公司 技术 分享呀
公司的员工福利包括哪些内容,sql,公司 员工福利 包括 内容
公司的年度体检政策是什么,sql,想要 公司 年度 体检 政策啊
公司的晋升机制是怎样的,rag,如何 公司 晋升 机制
如何申请公司的学习资源,rag,申请 公司 学习 资源
公司的年度体检政策是什么,rag,公司 年度 体检 政策
如何参与公司的创新项目,sql,参与 公司 创新 项目
如何使用公司的会议预订系统,rag,想了解 使用 公司 会议 预订 系统
公司的股票代码是什么,rag,有没有人知道 公司 股票代码
公司的休假政策是什么,rag,公司 休假 政策
我想了解公司2023年的人员流动情况,sql,了解 公司 2023 年 人员 流动 情况
研发部门的主管平均薪资是多少,sql,能否 研发部门 主管 平均 薪资？
公司的技术栈包括哪些内容,rag,我想知道 公司 技术 栈 包括 内容
如何使用公司的打印机和复印机,rag,使用 公司 打印机 复印机
公司的环保政策有哪些内容,sql,公司 环保 政策 内容
公司的员工手册在哪里可以找到,sql,公司 员工 手册 哪里 找到
帮我查一下公司的技术发展路线,rag,有没有人知道 帮 一下 我查 公司 发展 路线
如何使用公司的电子签名系统,rag,使用 公司 电子签名 系统
公司的服务器维护时间是什么时候,rag,公司 服务器 维护 时间 时候
公司的试用期政策是什么,rag,公司 试用期 政策
公司各部门的人数分布情况是怎样的,sql,公司 部门 人数 分布 情况
查询一下市场营销部门的主要项目进展,sql,帮忙 查询 一下 市场营销部 门 主要 项目 进展了
公司的餐厅营业时间是什么时候,rag,公司 餐厅 营业时间 时候
计算运营部门2018年的人均加班时长,sql,计算 运营 部门 2018 年 人均 加班 时 长
公司的环保政策有哪些内容,sql,公司 环保 政策 内容
公司的服务器维护时间是什么时候,rag,公司 服务器 维护 时间 时候的
公司的打卡时间是几点到几点,rag,公司 打卡 时间 几点 几点
公司的加班补偿政策是什么,rag,公司 加班 补偿 政策呢
计算安全部门2022年的人均加班时长,sql,计算 安全部门 2022 年 人均 加班 时 长
对比行政部门和行政部门的项目成功率,sql,对比 行政部门 行政部门 项目 成功率
如何使用公司的打印机扫描功能,rag,使用 公司 打印机 扫描 功能
如何申请公司的资源访问权限,rag,申请 公司 资源 访问 权限
公司的年度体检政策是什么,rag,公司 年度 体检 政策
如何使用公司的内部知识库,rag,使用 公司 内部 知识库吗
公司的年度体检政策是什么,rag,公司 年度 体检 政策
分析公司2020年各月度的收入支出情况,sql,分析 公司 2020 年 各 月度 收入支出 情况
如何重置公司内部系统密码,rag,重置 公司 内部 系统 密码
麻烦查一下人力资源部门工程师的绩效如何,sql,查 一下 人力资源部 门 工程师 绩效
给我统计一下公司各部门的人均薪资,sql,给 统计 一下 公司 各 部门 人均 薪资吗
如何使用公司的打印机扫描功能,sql,使用 公司 打印机 扫描 功能
如何申请公司的报销流程,rag,申请 公司 报销 流程
如何使用公司的打印机和复印机,sql,使用 公司 打印机 复印机
公司各职级的薪资范围是什么,sql,想知道 各 公司 职级 薪资 范围
公司的健康保险政策是什么,rag,公司 健康 保险 政策
战略规划部门的设计师平均薪资是多少,sql,战略规划 部门 设计师 平均 薪资
如何提交产品改进建议,rag,告诉我 提交 产品 改进 建议啊
公司的创始人是谁,rag,公司 创始人 谁
公司2020年的税收支出是多少,sql,公司 2020 税收 年 支出
统计公司2018年各部门的预算使用情况,sql,统计 公司 2018 年 各 部门 预算 使用 情况
公司的员工心理健康支持项目有哪些,rag,公司 员工 心理健康 支持 项目
查询运营部门的管理层结构,sql,查询 运营 部门 管理层 结构
公司的试用期政策是什么,rag,如何 公司 试用期 政策啊
如何使用公司的云盘系统,sql,想要 使用 公司 云盘 系统啊
公司2022年第四季度的利润是多少,sql,公司 2022 年 第四季度 利润
数据分析部门的平均工资是多少,sql,数据分析 部门 平均工资
对比法务部门和法务部门的项目成功率,sql,请 对比 法务 部门 法务 项目 成功率
公司的知识产权保护政策是什么,rag,公司 知识产权 保护 政策
如何参加公司的技术分享会,sql,参加 公司 技术 分享
公司的加班补偿政策是什么,rag,公司 加班 补偿 政策
公司的晋升机制是怎样的,rag,公司 晋升 机制
公司的员工手册在哪里可以找到,rag,公司 员工 手册 哪里 找到
公司的信息安全培训内容是什么,rag,公司 信息安全 培训 内容
公司的差旅报销流程是什么,rag,公司 差旅 报销 流程
如何使用公司的共享单车福利,sql,使用 公司 共享 单车 福利
公司国际业务部门有多少人,sql,公司 国际 业务部门 人
公司的主要竞争对手有哪些,rag,公司 主要 竞争对手
公司的信息安全培训内容是什么,rag,公司 信息安全 培训 内容
如何获取公司的产品折扣,sql,获取 公司 产品 折扣呀
如何使用公司的电子签名系统,sql,使用 公司 电子签名 系统
公司2020年第二季度的利润是多少,sql,公司 2020 年 第二季度 利润
公司的WiFi密码是多少,rag,公司 WiFi 密码
如何申请公司的法定节假日调休,rag,申请 公司 法定 节假日 调休
